<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.25	00:00:00	159.589	159.705	159.333	159.390	4310	0	0
2024.06.25	04:00:00	159.391	159.507	159.189	159.429	6888	0	0
2024.06.25	08:00:00	159.428	159.551	159.275	159.475	6748	0	0
2024.06.25	12:00:00	159.475	159.671	159.293	159.664	6565	0	0
2024.06.25	16:00:00	159.664	159.756	159.563	159.746	7393	0	0
2024.06.25	20:00:00	159.746	159.746	159.604	159.679	4377	0	0
2024.06.26	00:00:00	159.654	159.759	159.607	159.719	3193	0	0
2024.06.26	04:00:00	159.719	159.897	159.694	159.751	4334	0	0
2024.06.26	08:00:00	159.752	159.970	159.750	159.958	5262	0	0
2024.06.26	12:00:00	159.958	160.393	159.886	160.350	10467	0	0
2024.06.26	16:00:00	160.350	160.822	160.015	160.637	11688	0	0
2024.06.26	20:00:00	160.637	160.865	160.591	160.805	4813	0	0
2024.06.27	00:00:00	160.768	160.786	160.493	160.688	3734	0	0
2024.06.27	04:00:00	160.693	160.718	160.308	160.337	6063	0	0
2024.06.27	08:00:00	160.335	160.606	160.308	160.555	6402	0	0
2024.06.27	12:00:00	160.555	160.568	160.285	160.397	7099	0	0
2024.06.27	16:00:00	160.396	160.737	160.357	160.713	8610	0	0
2024.06.27	20:00:00	160.713	160.824	160.668	160.734	4719	0	0
2024.06.28	00:00:00	160.749	161.143	160.640	161.121	3160	0	0
2024.06.28	04:00:00	161.119	161.282	160.842	161.039	8392	0	0
2024.06.28	08:00:00	161.038	161.057	160.837	160.912	8345	0	0
2024.06.28	12:00:00	160.912	160.920	160.366	160.510	9833	0	0
2024.06.28	16:00:00	160.510	160.963	160.261	160.847	12494	0	0
2024.06.28	20:00:00	160.846	160.941	160.703	160.826	5611	0	0
2024.07.01	00:00:00	160.760	161.186	160.699	160.992	4550	0	0
2024.07.01	04:00:00	160.992	161.084	160.837	161.073	5388	0	0
2024.07.01	08:00:00	161.075	161.121	160.866	161.008	6726	0	0
2024.07.01	12:00:00	161.010	161.388	160.969	161.354	5542	0	0
2024.07.01	16:00:00	161.354	161.727	160.963	161.520	10301	0	0
2024.07.01	20:00:00	161.520	161.564	161.403	161.458	5344	0	0
2024.07.02	00:00:00	161.432	161.642	161.341	161.522	2857	0	0
2024.07.02	04:00:00	161.522	161.743	161.452	161.676	4803	0	0
2024.07.02	08:00:00	161.676	161.727	161.557	161.589	6351	0	0
2024.07.02	12:00:00	161.589	161.629	161.587	161.587	265	0	1
2024.07.03	00:00:00	161.422	161.580	161.383	161.562	2838	0	0
2024.07.03	04:00:00	161.562	161.741	161.520	161.713	3188	0	0
2024.07.03	08:00:00	161.714	161.939	161.669	161.844	6616	0	0
2024.07.03	12:00:00	161.844	161.950	161.791	161.823	5454	0	0
2024.07.03	16:00:00	161.823	161.831	160.773	161.535	12630	0	0
2024.07.03	20:00:00	161.536	161.748	161.468	161.678	3336	0	0
2024.07.04	00:00:00	161.662	161.693	161.378	161.438	2850	0	0
2024.07.04	04:00:00	161.440	161.573	161.136	161.496	4816	0	0
2024.07.04	08:00:00	161.495	161.551	161.191	161.245	5573	0	0
2024.07.04	12:00:00	161.244	161.309	160.946	161.137	6341	0	0
2024.07.04	16:00:00	161.135	161.194	160.963	161.132	4393	0	0
2024.07.04	20:00:00	161.133	161.304	161.112	161.266	1901	0	0
2024.07.05	00:00:00	161.256	161.394	160.818	161.072	4121	0	0
2024.07.05	04:00:00	161.070	161.140	160.526	160.641	7829	0	0
2024.07.05	08:00:00	160.641	160.853	160.570	160.735	6230	0	0
2024.07.05	12:00:00	160.735	161.148	160.331	160.942	7806	0	0
2024.07.05	16:00:00	160.941	161.330	160.625	160.888	13214	0	0
2024.07.05	20:00:00	160.886	160.911	160.709	160.739	5510	0	0
2024.07.08	00:00:00	160.750	160.821	160.562	160.610	4774	0	0
2024.07.08	04:00:00	160.610	160.717	160.261	160.542	7278	0	0
2024.07.08	08:00:00	160.541	161.118	160.530	161.092	8246	0	0
2024.07.08	12:00:00	161.090	161.100	160.663	160.688	6591	0	0
2024.07.08	16:00:00	160.691	160.815	160.474	160.731	8304	0	0
2024.07.08	20:00:00	160.731	160.832	160.688	160.815	3511	0	0
2024.07.09	00:00:00	160.787	160.919	160.729	160.892	3078	0	0
2024.07.09	04:00:00	160.892	161.131	160.853	160.962	5518	0	0
2024.07.09	08:00:00	160.962	161.078	160.740	161.051	6274	0	0
2024.07.09	12:00:00	161.055	161.178	160.960	161.129	5735	0	0
