<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.30	20:00:00	15.77	15.95	15.31	15.50	262	68677	0
2024.05.31	16:00:00	15.40	15.69	14.61	14.83	565	112134	0
2024.05.31	20:00:00	14.80	14.90	14.42	14.79	288	69595	0
2024.06.03	16:00:00	15.11	15.33	13.00	13.60	746	210550	0
2024.06.03	20:00:00	13.60	14.15	13.51	13.70	347	107126	0
2024.06.04	16:00:00	13.84	14.30	13.47	13.99	369	95790	0
2024.06.04	20:00:00	13.91	14.04	13.60	13.80	227	60269	0
2024.06.05	16:00:00	13.85	14.20	13.75	13.85	262	74223	0
2024.06.05	20:00:00	13.92	14.15	13.80	14.06	143	32728	0
2024.06.06	16:00:00	14.00	14.00	13.16	13.42	601	124799	0
2024.06.06	20:00:00	13.43	13.49	13.21	13.36	253	45656	0
2024.06.07	16:00:00	13.38	13.45	13.10	13.19	264	62658	0
2024.06.07	20:00:00	13.20	13.20	12.42	12.88	450	109952	0
2024.06.10	16:00:00	12.80	13.34	12.53	12.91	260	65137	0
2024.06.10	20:00:00	12.93	13.47	12.91	13.12	440	129148	0
2024.06.11	16:00:00	12.93	13.05	12.57	12.63	227	49436	0
2024.06.11	20:00:00	12.58	12.80	12.55	12.70	102	35389	0
2024.06.12	16:00:00	12.81	14.10	12.70	13.90	1019	286296	0
2024.06.12	20:00:00	13.87	13.89	13.22	13.31	200	52637	0
2024.06.13	16:00:00	13.62	13.63	13.05	13.15	187	39603	0
2024.06.13	20:00:00	13.12	13.34	13.09	13.10	92	20599	0
2024.06.14	16:00:00	13.15	13.21	12.85	12.95	206	44587	0
2024.06.14	20:00:00	12.96	13.09	12.95	12.97	110	21526	0
2024.06.17	16:00:00	12.85	13.15	12.70	13.12	164	32791	0
2024.06.17	20:00:00	13.11	13.25	12.75	12.82	248	44876	0
2024.06.18	16:00:00	12.80	13.33	12.80	13.12	228	50604	0
2024.06.18	20:00:00	13.20	13.20	12.95	13.07	59	14724	0
2024.06.20	16:00:00	13.07	13.20	12.80	12.84	230	56050	0
2024.06.20	20:00:00	12.84	12.85	12.41	12.58	176	32170	0
2024.06.21	16:00:00	12.52	12.72	12.45	12.60	103	20410	0
2024.06.21	20:00:00	12.56	12.65	12.50	12.64	82	21669	0
2024.06.24	16:00:00	12.45	12.60	11.56	11.56	465	119832	0
2024.06.24	20:00:00	11.56	11.65	11.40	11.57	211	58932	0
2024.06.25	16:00:00	11.37	11.55	11.24	11.51	272	72157	0
2024.06.25	20:00:00	11.45	11.54	11.40	11.48	74	13806	0
2024.06.26	16:00:00	11.40	11.46	11.02	11.05	243	59583	0
2024.06.26	20:00:00	11.01	11.12	10.71	10.80	318	64558	0
2024.06.27	16:00:00	11.55	14.30	11.21	12.80	3967	996674	0
2024.06.27	20:00:00	12.80	15.10	12.65	14.45	2601	850650	0
2024.06.28	16:00:00	16.30	18.29	15.25	15.74	5513	1548679	0
2024.06.28	20:00:00	15.68	16.24	14.90	15.17	1212	274782	0
2024.07.01	16:00:00	15.30	16.15	13.00	13.00	1671	463922	0
2024.07.01	20:00:00	13.05	13.63	13.04	13.54	255	56793	0
2024.07.02	16:00:00	13.51	14.79	13.40	13.92	950	237145	0
2024.07.02	20:00:00	13.93	14.20	13.87	13.95	203	42701	0
2024.07.03	16:00:00	14.06	14.21	13.20	13.40	554	145232	0
2024.07.03	20:00:00	13.55	13.55	13.31	13.45	7	1300	0
2024.07.05	16:00:00	13.81	15.55	13.70	14.89	1522	439633	0
2024.07.05	20:00:00	14.89	14.99	14.43	14.50	422	129048	0
2024.07.08	16:00:00	15.12	15.98	14.91	15.27	1021	234230	0
2024.07.08	20:00:00	15.32	15.50	15.00	15.17	315	91593	0
2024.07.09	16:00:00	15.92	15.92	14.41	14.90	659	146772	0
2024.07.09	20:00:00	14.90	15.12	14.60	14.84	164	37988	0
2024.07.10	16:00:00	14.90	14.97	14.42	14.48	277	61094	0
2024.07.10	20:00:00	14.48	14.57	14.07	14.20	214	53334	0
2024.07.11	16:00:00	14.44	15.23	13.70	13.70	844	199081	0
2024.07.11	20:00:00	13.72	13.94	13.40	13.66	347	90985	0
2024.07.12	16:00:00	13.70	14.55	13.69	14.35	489	115430	0
2024.07.12	20:00:00	14.40	14.98	14.32	14.51	249	56404	0
2024.07.15	16:00:00	15.01	15.70	14.58	15.30	784	196772	0
2024.07.15	20:00:00	15.22	15.26	14.09	14.24	321	68496	0
2024.07.16	16:00:00	14.56	14.91	14.23	14.60	306	71242	0
2024.07.16	20:00:00	14.55	14.75	14.45	14.72	190	59604	0
2024.07.17	16:00:00	14.46	14.72	14.12	14.19	277	69182	0
2024.07.17	20:00:00	14.17	14.28	13.98	14.24	168	47606	0
2024.07.18	16:00:00	14.25	14.50	13.61	13.76	357	87681	0
2024.07.18	20:00:00	13.76	13.89	13.62	13.89	166	33769	0
2024.07.19	16:00:00	13.79	13.84	13.52	13.60	201	67811	0
2024.07.19	20:00:00	13.59	13.63	13.26	13.61	169	38469	0
2024.07.22	16:00:00	13.56	13.83	13.36	13.57	258	69874	0
2024.07.22	20:00:00	13.47	13.84	13.45	13.84	103	21484	0
2024.07.23	16:00:00	13.67	13.82	13.36	13.54	226	61121	0
2024.07.23	20:00:00	13.54	13.54	13.32	13.45	104	25635	0
2024.07.24	16:00:00	13.25	13.42	12.32	12.36	549	126242	0
2024.07.24	20:00:00	12.37	13.19	12.31	13.12	364	95734	0
2024.07.25	16:00:00	12.51	12.94	11.70	12.80	853	197494	0
2024.07.25	20:00:00	12.81	12.95	12.22	12.22	301	43301	0
2024.07.26	16:00:00	12.69	12.95	12.51	12.78	266	89999	0
2024.07.26	20:00:00	12.83	12.98	12.77	12.96	238	85121	0
2024.07.29	16:00:00	13.08	13.51	13.08	13.22	373	63803	0
2024.07.29	20:00:00	13.20	13.22	12.33	12.35	268	57419	0
2024.07.30	16:00:00	12.54	12.55	11.91	12.02	280	58296	0
2024.07.30	20:00:00	12.01	12.20	12.00	12.05	115	22531	0
2024.07.31	16:00:00	12.35	12.64	12.26	12.30	170	43184	0
2024.07.31	20:00:00	12.32	12.50	12.20	12.20	67	17095	0
2024.08.01	16:00:00	12.20	12.20	11.27	11.31	784	176779	0
