<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.11	12:00:00	1.09086	1.09307	1.08811	1.09206	15669	0	0
2025.03.11	16:00:00	1.09201	1.09349	1.08952	1.09337	16995	0	0
2025.03.11	20:00:00	1.09339	1.09472	1.09070	1.09101	9799	0	2
2025.03.12	00:00:00	1.09120	1.09181	1.09054	1.09066	5688	0	0
2025.03.12	04:00:00	1.09065	1.09116	1.08950	1.09033	6026	0	0
2025.03.12	08:00:00	1.09035	1.09266	1.08873	1.09147	16290	0	1
2025.03.12	12:00:00	1.09141	1.09319	1.08757	1.08820	20578	0	0
2025.03.12	16:00:00	1.08818	1.09280	1.08810	1.09069	15320	0	0
2025.03.12	20:00:00	1.09069	1.09096	1.08798	1.08841	6460	0	2
2025.03.13	00:00:00	1.08874	1.08933	1.08824	1.08892	3909	0	0
2025.03.13	04:00:00	1.08891	1.08972	1.08791	1.08853	5440	0	2
2025.03.13	08:00:00	1.08854	1.08856	1.08591	1.08795	15484	0	1
2025.03.13	12:00:00	1.08797	1.08829	1.08224	1.08476	19675	0	0
2025.03.13	16:00:00	1.08476	1.08782	1.08465	1.08544	17518	0	0
2025.03.13	20:00:00	1.08543	1.08579	1.08440	1.08511	5776	0	2
2025.03.14	00:00:00	1.08510	1.08587	1.08404	1.08409	4964	0	0
2025.03.14	04:00:00	1.08410	1.08515	1.08341	1.08508	6121	0	2
2025.03.14	08:00:00	1.08507	1.08621	1.08305	1.08523	13347	0	1
2025.03.14	12:00:00	1.08519	1.09124	1.08513	1.08744	20524	0	0
2025.03.14	16:00:00	1.08739	1.08901	1.08655	1.08822	14161	0	0
2025.03.14	20:00:00	1.08822	1.08863	1.08732	1.08751	4479	0	2
2025.03.17	00:00:00	1.08780	1.08903	1.08738	1.08829	5034	0	0
2025.03.17	04:00:00	1.08829	1.08939	1.08735	1.08777	4850	0	2
2025.03.17	08:00:00	1.08778	1.09006	1.08684	1.09000	11315	0	1
